,id,day,month,year,home_team,team,opponent,url
0,0,30,10,2007,1,SAS,POR,https://www.basketball-reference.com/boxscores/200710300SAS.html
1,1,30,10,2007,0,POR,SAS,https://www.basketball-reference.com/boxscores/200710300SAS.html
2,2,30,10,2007,1,GSW,UTA,https://www.basketball-reference.com/boxscores/200710300GSW.html
3,3,30,10,2007,0,UTA,GSW,https://www.basketball-reference.com/boxscores/200710300GSW.html
4,4,30,10,2007,1,LAL,HOU,https://www.basketball-reference.com/boxscores/200710300LAL.html
5,5,30,10,2007,0,HOU,LAL,https://www.basketball-reference.com/boxscores/200710300LAL.html
6,6,31,10,2007,1,IND,WAS,https://www.basketball-reference.com/boxscores/200710310IND.html
7,7,31,10,2007,0,WAS,IND,https://www.basketball-reference.com/boxscores/200710310IND.html
8,8,31,10,2007,1,ORL,MIL,https://www.basketball-reference.com/boxscores/200710310ORL.html
9,9,31,10,2007,0,MIL,ORL,https://www.basketball-reference.com/boxscores/200710310ORL.html
10,10,31,10,2007,1,TOR,PHI,https://www.basketball-reference.com/boxscores/200710310TOR.html
11,11,31,10,2007,0,PHI,TOR,https://www.basketball-reference.com/boxscores/200710310TOR.html
12,12,31,10,2007,1,NJN,CHI,https://www.basketball-reference.com/boxscores/200710310NJN.html
13,13,31,10,2007,0,CHI,NJN,https://www.basketball-reference.com/boxscores/200710310NJN.html
14,14,31,10,2007,1,CLE,DAL,https://www.basketball-reference.com/boxscores/200710310CLE.html
15,15,31,10,2007,0,DAL,CLE,https://www.basketball-reference.com/boxscores/200710310CLE.html
16,16,31,10,2007,1,MEM,SAS,https://www.basketball-reference.com/boxscores/200710310MEM.html
17,17,31,10,2007,0,SAS,MEM,https://www.basketball-reference.com/boxscores/200710310MEM.html
18,18,31,10,2007,1,NOH,SAC,https://www.basketball-reference.com/boxscores/200710310NOH.html
19,19,31,10,2007,0,SAC,NOH,https://www.basketball-reference.com/boxscores/200710310NOH.html
20,20,31,10,2007,1,DEN,SEA,https://www.basketball-reference.com/boxscores/200710310DEN.html
21,21,31,10,2007,0,SEA,DEN,https://www.basketball-reference.com/boxscores/200710310DEN.html
22,22,1,11,2007,1,MIA,DET,https://www.basketball-reference.com/boxscores/200711010MIA.html
23,23,1,11,2007,0,DET,MIA,https://www.basketball-reference.com/boxscores/200711010MIA.html
24,24,1,11,2007,1,UTA,HOU,https://www.basketball-reference.com/boxscores/200711010UTA.html
25,25,1,11,2007,0,HOU,UTA,https://www.basketball-reference.com/boxscores/200711010UTA.html
26,26,1,11,2007,1,SEA,PHO,https://www.basketball-reference.com/boxscores/200711010SEA.html
27,27,1,11,2007,0,PHO,SEA,https://www.basketball-reference.com/boxscores/200711010SEA.html
28,28,2,11,2007,1,CHA,MIL,https://www.basketball-reference.com/boxscores/200711020CHA.html
29,29,2,11,2007,0,MIL,CHA,https://www.basketball-reference.com/boxscores/200711020CHA.html
30,30,2,11,2007,1,IND,MIA,https://www.basketball-reference.com/boxscores/200711020IND.html
31,31,2,11,2007,0,MIA,IND,https://www.basketball-reference.com/boxscores/200711020IND.html
32,32,2,11,2007,1,ORL,DET,https://www.basketball-reference.com/boxscores/200711020ORL.html
33,33,2,11,2007,0,DET,ORL,https://www.basketball-reference.com/boxscores/200711020ORL.html
34,34,2,11,2007,1,ATL,DAL,https://www.basketball-reference.com/boxscores/200711020ATL.html
35,35,2,11,2007,0,DAL,ATL,https://www.basketball-reference.com/boxscores/200711020ATL.html
36,36,2,11,2007,1,CLE,NYK,https://www.basketball-reference.com/boxscores/200711020CLE.html
37,37,2,11,2007,0,NYK,CLE,https://www.basketball-reference.com/boxscores/200711020CLE.html
38,38,2,11,2007,1,NJN,TOR,https://www.basketball-reference.com/boxscores/200711020NJN.html
39,39,2,11,2007,0,TOR,NJN,https://www.basketball-reference.com/boxscores/200711020NJN.html
40,40,2,11,2007,1,BOS,WAS,https://www.basketball-reference.com/boxscores/200711020BOS.html
41,41,2,11,2007,0,WAS,BOS,https://www.basketball-reference.com/boxscores/200711020BOS.html
42,42,2,11,2007,1,MIN,DEN,https://www.basketball-reference.com/boxscores/200711020MIN.html
43,43,2,11,2007,0,DEN,MIN,https://www.basketball-reference.com/boxscores/200711020MIN.html
44,44,2,11,2007,1,NOH,POR,https://www.basketball-reference.com/boxscores/200711020NOH.html
45,45,2,11,2007,0,POR,NOH,https://www.basketball-reference.com/boxscores/200711020NOH.html
46,46,2,11,2007,1,CHI,PHI,https://www.basketball-reference.com/boxscores/200711020CHI.html
47,47,2,11,2007,0,PHI,CHI,https://www.basketball-reference.com/boxscores/200711020CHI.html
48,48,2,11,2007,1,SAS,SAC,https://www.basketball-reference.com/boxscores/200711020SAS.html
49,49,2,11,2007,0,SAC,SAS,https://www.basketball-reference.com/boxscores/200711020SAS.html
50,50,2,11,2007,1,LAC,GSW,https://www.basketball-reference.com/boxscores/200711020LAC.html
51,51,2,11,2007,0,GSW,LAC,https://www.basketball-reference.com/boxscores/200711020LAC.html
52,52,2,11,2007,1,PHO,LAL,https://www.basketball-reference.com/boxscores/200711020PHO.html
53,53,2,11,2007,0,LAL,PHO,https://www.basketball-reference.com/boxscores/200711020PHO.html
54,54,3,11,2007,1,PHI,NJN,https://www.basketball-reference.com/boxscores/200711030PHI.html
55,55,3,11,2007,0,NJN,PHI,https://www.basketball-reference.com/boxscores/200711030PHI.html
56,56,3,11,2007,1,WAS,ORL,https://www.basketball-reference.com/boxscores/200711030WAS.html
57,57,3,11,2007,0,ORL,WAS,https://www.basketball-reference.com/boxscores/200711030WAS.html
58,58,3,11,2007,1,MEM,IND,https://www.basketball-reference.com/boxscores/200711030MEM.html
59,59,3,11,2007,0,IND,MEM,https://www.basketball-reference.com/boxscores/200711030MEM.html
60,60,3,11,2007,1,DAL,SAC,https://www.basketball-reference.com/boxscores/200711030DAL.html
61,61,3,11,2007,0,SAC,DAL,https://www.basketball-reference.com/boxscores/200711030DAL.html
62,62,3,11,2007,1,HOU,POR,https://www.basketball-reference.com/boxscores/200711030HOU.html
