,id,day,month,year,home_team,team,opponent,url
0,0,29,10,2013,1,IND,ORL,https://www.basketball-reference.com/boxscores/201310290IND.html
1,1,29,10,2013,0,ORL,IND,https://www.basketball-reference.com/boxscores/201310290IND.html
2,2,29,10,2013,1,MIA,CHI,https://www.basketball-reference.com/boxscores/201310290MIA.html
3,3,29,10,2013,0,CHI,MIA,https://www.basketball-reference.com/boxscores/201310290MIA.html
4,4,29,10,2013,1,LAL,LAC,https://www.basketball-reference.com/boxscores/201310290LAL.html
5,5,29,10,2013,0,LAC,LAL,https://www.basketball-reference.com/boxscores/201310290LAL.html
6,6,30,10,2013,1,CLE,BRK,https://www.basketball-reference.com/boxscores/201310300CLE.html
7,7,30,10,2013,0,BRK,CLE,https://www.basketball-reference.com/boxscores/201310300CLE.html
8,8,30,10,2013,1,TOR,BOS,https://www.basketball-reference.com/boxscores/201310300TOR.html
9,9,30,10,2013,0,BOS,TOR,https://www.basketball-reference.com/boxscores/201310300TOR.html
10,10,30,10,2013,1,PHI,MIA,https://www.basketball-reference.com/boxscores/201310300PHI.html
11,11,30,10,2013,0,MIA,PHI,https://www.basketball-reference.com/boxscores/201310300PHI.html
12,12,30,10,2013,1,DET,WAS,https://www.basketball-reference.com/boxscores/201310300DET.html
13,13,30,10,2013,0,WAS,DET,https://www.basketball-reference.com/boxscores/201310300DET.html
14,14,30,10,2013,1,NYK,MIL,https://www.basketball-reference.com/boxscores/201310300NYK.html
15,15,30,10,2013,0,MIL,NYK,https://www.basketball-reference.com/boxscores/201310300NYK.html
16,16,30,10,2013,1,NOP,IND,https://www.basketball-reference.com/boxscores/201310300NOP.html
17,17,30,10,2013,0,IND,NOP,https://www.basketball-reference.com/boxscores/201310300NOP.html
18,18,30,10,2013,1,MIN,ORL,https://www.basketball-reference.com/boxscores/201310300MIN.html
19,19,30,10,2013,0,ORL,MIN,https://www.basketball-reference.com/boxscores/201310300MIN.html
20,20,30,10,2013,1,HOU,CHA,https://www.basketball-reference.com/boxscores/201310300HOU.html
21,21,30,10,2013,0,CHA,HOU,https://www.basketball-reference.com/boxscores/201310300HOU.html
22,22,30,10,2013,1,SAS,MEM,https://www.basketball-reference.com/boxscores/201310300SAS.html
23,23,30,10,2013,0,MEM,SAS,https://www.basketball-reference.com/boxscores/201310300SAS.html
24,24,30,10,2013,1,DAL,ATL,https://www.basketball-reference.com/boxscores/201310300DAL.html
25,25,30,10,2013,0,ATL,DAL,https://www.basketball-reference.com/boxscores/201310300DAL.html
26,26,30,10,2013,1,UTA,OKC,https://www.basketball-reference.com/boxscores/201310300UTA.html
27,27,30,10,2013,0,OKC,UTA,https://www.basketball-reference.com/boxscores/201310300UTA.html
28,28,30,10,2013,1,PHO,POR,https://www.basketball-reference.com/boxscores/201310300PHO.html
29,29,30,10,2013,0,POR,PHO,https://www.basketball-reference.com/boxscores/201310300PHO.html
30,30,30,10,2013,1,SAC,DEN,https://www.basketball-reference.com/boxscores/201310300SAC.html
31,31,30,10,2013,0,DEN,SAC,https://www.basketball-reference.com/boxscores/201310300SAC.html
32,32,30,10,2013,1,GSW,LAL,https://www.basketball-reference.com/boxscores/201310300GSW.html
33,33,30,10,2013,0,LAL,GSW,https://www.basketball-reference.com/boxscores/201310300GSW.html
34,34,31,10,2013,1,CHI,NYK,https://www.basketball-reference.com/boxscores/201310310CHI.html
35,35,31,10,2013,0,NYK,CHI,https://www.basketball-reference.com/boxscores/201310310CHI.html
36,36,31,10,2013,1,LAC,GSW,https://www.basketball-reference.com/boxscores/201310310LAC.html
37,37,31,10,2013,0,GSW,LAC,https://www.basketball-reference.com/boxscores/201310310LAC.html
38,38,1,11,2013,1,CHA,CLE,https://www.basketball-reference.com/boxscores/201311010CHA.html
39,39,1,11,2013,0,CLE,CHA,https://www.basketball-reference.com/boxscores/201311010CHA.html
40,40,1,11,2013,1,ORL,NOP,https://www.basketball-reference.com/boxscores/201311010ORL.html
41,41,1,11,2013,0,NOP,ORL,https://www.basketball-reference.com/boxscores/201311010ORL.html
