team,season,number,player,position,month,day,year,country,experience,height,weight
LAL,2016,2,Brandon Bass,PF,April,30,1985,us,10,6-8,250
LAL,2016,28,Tarik Black,C,November,22,1991,us,1,6-9,250
LAL,2016,3,Anthony Brown,SF,October,10,1992,us,R,6-7,210
LAL,2016,24,Kobe Bryant,SF,August,23,1978,us,19,6-6,212
LAL,2016,6,Jordan Clarkson,SG,June,7,1992,us,1,6-4,194
LAL,2016,17,Roy Hibbert,C,December,11,1986,us,7,7-2,270
LAL,2016,9,Marcelo Huertas,PG,May,25,1983,br,R,6-3,200
LAL,2016,4,Ryan Kelly,PF,April,9,1991,us,2,6-11,230
LAL,2016,7,Larry Nance,PF,January,1,1993,us,R,6-7,245
LAL,2016,30,Julius Randle,PF,November,29,1994,us,1,6-8,250
LAL,2016,1,D'Angelo Russell,PG,February,23,1996,us,R,6-4,193
LAL,2016,50,Robert Sacre,C,June,6,1989,us,3,7-0,270
LAL,2016,23,Lou Williams,SG,October,27,1986,us,10,6-1,175
LAL,2016,37,Metta World Peace,SF,November,13,1979,us,15,6-7,260
LAL,2016,0,Nick Young,SG,June,1,1985,us,8,6-7,210
CLE,2016,9,Jared Cunningham,SG,May,22,1991,us,3,6-4,195
CLE,2016,8,Matthew Dellavedova,PG,September,8,1990,au,2,6-3,200
CLE,2016,9,Channing Frye,C,May,17,1983,us,9,7-0,255
CLE,2016,12,Joe Harris,SG,September,6,1991,us,1,6-6,220
CLE,2016,2,Kyrie Irving,PG,March,23,1992,au,4,6-2,195
CLE,2016,23,LeBron James,SF,December,30,1984,us,12,6-9,250
CLE,2016,24,Richard Jefferson,SF,June,21,1980,us,14,6-7,233
CLE,2016,30,Dahntay Jones,SF,December,27,1980,us,11,6-6,225
CLE,2016,1,James Jones,SF,October,4,1980,us,12,6-8,218
CLE,2016,14,Sasha Kaun,C,May,8,1985,ru,R,6-11,260
CLE,2016,0,Kevin Love,PF,September,7,1988,us,7,6-8,251
CLE,2016,12,Jordan McRae,PG,March,28,1991,us,R,6-5,179
CLE,2016,20,Timofey Mozgov,C,July,16,1986,ru,5,7-1,275
CLE,2016,4,Iman Shumpert,SG,June,26,1990,us,4,6-5,215
CLE,2016,5,J.R. Smith,SG,September,9,1985,us,11,6-6,225
CLE,2016,13,Tristan Thompson,PF,March,13,1991,ca,4,6-9,254
CLE,2016,17,Anderson Varejão,C,September,28,1982,br,11,6-10,273
CLE,2016,52,Mo Williams,PG,December,19,1982,us,12,6-1,198
LAC,2016,45,Cole Aldrich,C,October,31,1988,us,5,6-11,250
LAC,2016,19,Jeff Ayres,C,April,29,1987,us,5,6-9,240
LAC,2016,11,Jamal Crawford,SG,March,20,1980,us,15,6-5,185
LAC,2016,22,Branden Dawson,PF,February,1,1993,us,R,6-6,225
LAC,2016,8,Jeff Green,SF,August,28,1986,us,7,6-8,235
LAC,2016,32,Blake Griffin,PF,March,16,1989,us,5,6-9,250
LAC,2016,33,Wesley Johnson,SF,July,11,1987,us,5,6-7,215
LAC,2016,6,DeAndre Jordan,C,July,21,1988,us,7,6-11,265
LAC,2016,12,Luc Mbah a Moute,PF,September,9,1986,cm,7,6-8,230
LAC,2016,3,Chris Paul,PG,May,6,1985,us,10,6-0,175
LAC,2016,34,Paul Pierce,SF,October,13,1977,us,17,6-7,235
LAC,2016,9,Pablo Prigioni,PG,May,17,1977,ar,3,6-3,185
LAC,2016,4,J.J. Redick,SG,June,24,1984,us,9,6-3,200
LAC,2016,25,Austin Rivers,SG,August,1,1992,us,3,6-4,200
LAC,2016,5,Josh Smith,PF,December,5,1985,us,11,6-9,225
LAC,2016,1,Lance Stephenson,SF,September,5,1990,us,5,6-6,230
LAC,2016,35,Alex Stepheson,PF,August,7,1987,us,R,6-10,270
LAC,2016,30,C.J. Wilcox,SG,December,30,1990,us,1,6-5,195
SAC,2016,13,Quincy Acy,PF,October,6,1990,us,3,6-7,240
SAC,2016,5,James Anderson,SG,March,25,1989,us,4,6-6,213
SAC,2016,3,Marco Belinelli,SG,March,25,1986,it,8,6-5,220
SAC,2016,31,Caron Butler,SF,March,13,1980,us,13,6-7,228
SAC,2016,18,Omri Casspi,PF,June,22,1988,il,6,6-9,225
SAC,2016,00,Willie Cauley-Stein,C,August,18,1993,us,R,7-0,240
SAC,2016,7,Darren Collison,PG,August,23,1987,us,6,6-0,175
SAC,2016,15,DeMarcus Cousins,C,August,13,1990,us,5,6-10,270
SAC,2016,30,Seth Curry,PG,August,23,1990,us,2,6-2,185
SAC,2016,26,Duje Dukan,SF,December,4,1991,hr,R,6-9,220
SAC,2016,8,Rudy Gay,SF,August,17,1986,us,9,6-8,250
SAC,2016,41,Kosta Koufos,C,February,24,1989,us,7,7-0,245
SAC,2016,23,Ben McLemore,SG,February,11,1993,us,2,6-3,195
SAC,2016,25,Eric Moreland,PF,December,24,1991,us,1,6-10,238
SAC,2016,9,Rajon Rondo,PG,February,22,1986,us,9,6-1,180
LAL,2020,37,Kostas Antetokounmpo,PF,November,20,1997,gr,1,6-10,200
LAL,2020,11,Avery Bradley,SG,November,26,1990,us,9,6-3,180
LAL,2020,12,Devontae Cacok,C,October,8,1996,us,R,6-7,240
LAL,2020,1,Kentavious Caldwell-Pope,SG,February,18,1993,us,6,6-5,204
LAL,2020,4,Alex Caruso,PG,February,28,1994,us,2,6-4,186
LAL,2020,28,Quinn Cook,PG,March,23,1993,us,3,6-1,180
LAL,2020,30,Troy Daniels,SG,July,15,1991,us,6,6-4,200
LAL,2020,3,Anthony Davis,PF,March,11,1993,us,7,6-10,253
LAL,2020,10,Jared Dudley,PF,July,10,1985,us,12,6-6,237
LAL,2020,14,Danny Green,SG,June,22,1987,us,10,6-6,215
LAL,2020,5,Talen Horton-Tucker,SG,November,25,2000,us,R,6-4,234
LAL,2020,39,Dwight Howard,C,December,8,1985,us,15,6-10,265
LAL,2020,23,LeBron James,PG,December,30,1984,us,16,6-9,250
LAL,2020,0,Kyle Kuzma,PF,July,24,1995,us,2,6-10,221
LAL,2020,7,JaVale McGee,C,January,19,1988,us,11,7-0,270
LAL,2020,88,Markieff Morris,PF,September,2,1989,us,8,6-9,245
LAL,2020,21,Zach Norvell,SG,December,9,1997,us,R,6-5,206
LAL,2020,9,Rajon Rondo,PG,February,22,1986,us,13,6-1,180
LAL,2020,21,J.R. Smith,SG,September,9,1985,us,15,6-6,225
LAL,2020,18,Dion Waiters,SG,December,10,1991,us,7,6-3,215
CLE,2020,5,Marques Bolden,C,April,17,1998,us,R,6-10,249
CLE,2020,8,Jordan Clarkson,SG,June,7,1992,us,5,6-4,194
CLE,2020,21,Tyler Cook,PF,September,23,1997,us,R,6-8,255
CLE,2020,18,Matthew Dellavedova,PG,September,8,1990,au,6,6-3,200
CLE,2020,3,Andre Drummond,C,August,10,1993,us,7,6-10,279
CLE,2020,1,Dante Exum,SG,July,13,1995,au,4,6-5,214
CLE,2020,10,Darius Garland,SG,January,26,2000,us,R,6-1,192
CLE,2020,31,John Henson,C,December,28,1990,us,7,6-9,219
CLE,2020,20,Brandon Knight,SG,December,2,1991,us,7,6-2,182
CLE,2020,0,Kevin Love,PF,September,7,1988,us,11,6-8,251
CLE,2020,55,J.P. Macura,SG,June,5,1995,us,1,6-5,203
CLE,2020,28,Alfonzo McKinnie,SF,September,17,1992,us,2,6-7,215
CLE,2020,31,Matt Mooney,SG,February,7,1997,us,R,6-3,199
CLE,2020,22,Larry Nance,PF,January,1,1993,us,4,6-7,245
CLE,2020,14,Malik Newman,SG,February,21,1997,us,R,6-3,190
CLE,2020,16,Cedi Osman,SF,April,8,1995,mk,2,6-7,230
CLE,2020,4,Kevin Porter,SF,May,4,2000,us,R,6-4,203
CLE,2020,2,Collin Sexton,PG,January,4,1999,us,1,6-1,190
CLE,2020,13,Tristan Thompson,PF,March,13,1991,ca,8,6-9,254
CLE,2020,32,Dean Wade,PF,November,20,1996,us,R,6-9,228
CLE,2020,41,Ante Žižić,C,January,4,1997,hr,2,6-10,266
LAC,2020,21,Patrick Beverley,PG,July,12,1988,us,7,6-1,180
LAC,2020,7,Amir Coffey,SG,June,17,1997,us,R,6-7,210
LAC,2020,13,Paul George,SF,May,2,1990,us,9,6-8,220
LAC,2020,4,JaMychal Green,PF,June,21,1990,us,5,6-8,227
LAC,2020,11,Maurice Harkless,PF,May,11,1993,us,7,6-7,220
LAC,2020,5,Montrezl Harrell,C,January,26,1994,us,4,6-7,240
LAC,2020,1,Reggie Jackson,SG,April,16,1990,it,8,6-2,208
LAC,2020,25,Mfiondu Kabengele,C,August,14,1997,ca,R,6-9,250
LAC,2020,2,Kawhi Leonard,SF,June,29,1991,us,8,6-7,225
LAC,2020,14,Terance Mann,SF,October,18,1996,us,R,6-5,215
LAC,2020,19,Rodney McGruder,SG,July,29,1991,us,3,6-4,205
LAC,2020,31,Marcus Morris,PF,September,2,1989,us,8,6-8,218
LAC,2020,15,Johnathan Motley,PF,May,4,1995,us,2,6-8,230
LAC,2020,55,Joakim Noah,C,February,25,1985,us,12,6-11,230
LAC,2020,54,Patrick Patterson,PF,March,14,1989,us,9,6-8,235
LAC,2020,1,Jerome Robinson,SG,February,22,1997,us,1,6-4,190
LAC,2020,20,Landry Shamet,SG,March,13,1997,us,1,6-4,190
LAC,2020,10,Derrick Walton,PG,April,3,1995,us,1,6-0,189
