team,season,MP_team,FG_team,FGA_team,FG_per_team,3P_team,3PA_team,3P_per_team,2P_team,2PA_team,2P_per_team,FT_team,FTA_team,FT_per_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,MP_opp,FG_opp,FGA_opp,FG_per_opp,3P_opp,3PA_opp,3P_per_opp,2P_opp,2PA_opp,2P_per_opp,FT_opp,FTA_opp,FT_per_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp
ATL,2008,5,22,21,16,27,28,18,8,6,21,5,7,7,7,21,11,12,14,4,24,11,15,5,20,22,21,10,7,16,24,21,18,10,10,12,24,5,11,20,16,24,16,9,15
BOS,2008,22,20,30,4,8,12,5,24,29,5,8,9,8,23,9,12,8,5,18,27,26,11,22,1,3,1,6,19,1,1,2,2,21,22,4,12,2,2,2,13,16,3,8,2
NJN,2008,9,28,25,26,18,17,23,26,22,23,10,6,20,16,13,15,6,24,16,25,25,25,9,8,10,12,14,11,24,11,13,12,27,27,25,11,14,13,17,27,11,21,7,17
CHA,2008,3,24,20,17,16,16,12,20,19,17,18,11,29,20,22,26,16,13,10,22,21,19,3,20,19,22,12,12,8,23,18,24,18,19,6,27,23,24,13,20,30,9,17,20
CHI,2008,14,19,5,30,23,24,14,15,4,30,15,18,17,4,18,8,11,9,6,18,22,18,14,8,14,9,20,16,26,6,12,9,24,24,23,15,21,19,15,25,28,7,12,16
CLE,2008,5,26,15,28,14,13,16,25,16,27,21,15,28,1,12,3,25,18,7,10,16,24,5,7,5,11,8,8,10,8,10,14,17,16,7,2,13,7,9,8,14,24,19,9
DAL,2008,25,16,24,9,19,19,20,14,18,8,7,14,1,21,7,9,20,29,10,5,23,12,25,6,11,4,1,1,5,16,22,4,23,23,21,9,6,5,3,6,8,30,13,6
DEN,2008,5,3,2,6,13,11,19,4,7,7,1,1,19,15,2,5,3,1,1,21,17,2,5,28,29,14,29,29,17,28,29,15,11,13,1,28,27,28,30,23,17,2,1,29
DET,2008,25,18,22,13,22,22,13,16,12,16,20,22,14,10,25,21,10,17,3,1,13,17,25,2,1,3,2,4,2,2,8,3,14,14,5,6,4,3,5,3,3,18,25,1
GSW,2008,18,1,1,12,2,1,23,6,12,6,14,16,18,5,14,6,8,2,19,7,27,1,18,26,25,25,21,22,20,27,25,23,28,28,20,29,30,30,26,10,20,1,14,30
HOU,2008,25,17,14,21,10,7,26,21,24,14,28,25,25,9,6,1,15,15,8,9,6,22,25,3,15,2,4,2,19,7,23,1,8,9,2,10,7,8,4,19,13,23,26,4
IND,2008,22,9,4,24,3,3,8,27,25,22,11,17,12,17,8,7,7,11,9,26,29,7,22,18,23,10,26,23,29,14,19,8,30,29,19,20,29,29,19,28,21,5,10,26
LAC,2008,14,29,27,29,28,27,29,18,9,29,6,8,6,25,17,27,19,20,14,14,18,29,14,19,18,24,7,6,4,25,20,26,19,18,11,16,26,23,21,12,14,17,11,18
LAL,2008,18,5,6,3,5,6,6,9,21,4,3,5,10,19,1,4,4,6,5,11,15,4,18,22,26,6,18,18,15,21,27,6,13,12,13,26,16,21,14,22,12,10,5,19
MEM,2008,14,11,12,15,7,4,22,19,27,9,17,12,26,22,11,18,28,28,17,28,3,10,14,30,27,29,24,27,18,29,26,30,5,5,29,21,28,27,28,30,18,22,6,28
