team,season,MP_team,FG_team,FGA_team,FG_per_team,3P_team,3PA_team,3P_per_team,2P_team,2PA_team,2P_per_team,FT_team,FTA_team,FT_per_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,MP_opp,FG_opp,FGA_opp,FG_per_opp,3P_opp,3PA_opp,3P_per_opp,2P_opp,2PA_opp,2P_per_opp,FT_opp,FTA_opp,FT_per_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp
LAL,2016,19730,2880,6956,.414,639,2016,.317,2241,4940,.454,1583,2028,.781,878,2645,3523,1478,593,337,1124,1662,7982,19730,3323,7023,.473,700,2016,.347,2623,5007,.524,1420,1942,.731,897,2915,3812,2022,617,458,1037,1573,8766
CLE,2016,19855,3171,6888,.460,880,2428,.362,2291,4460,.514,1333,1783,.748,873,2777,3650,1861,551,317,1114,1666,8555,19855,3019,6736,.448,647,1862,.347,2372,4874,.487,1378,1855,.743,760,2604,3364,1756,590,362,1092,1690,8063
LAC,2016,19830,3141,6759,.465,797,2190,.364,2344,4569,.513,1490,2152,.692,721,2727,3448,1873,709,460,1063,1746,8569,19830,3015,6946,.434,645,1909,.338,2370,5037,.471,1543,2055,.751,968,2861,3829,1740,583,259,1260,1842,8218
SAC,2016,19805,3283,7083,.464,660,1839,.359,2623,5244,.500,1514,2089,.725,868,2760,3628,2009,733,368,1326,1676,8740,19805,3327,7194,.462,839,2293,.366,2488,4901,.508,1450,1902,.762,926,2765,3691,1986,722,437,1308,1800,8943
LAL,2020,17090,3006,6269,.480,782,2242,.349,2224,4027,.552,1260,1728,.729,757,2490,3247,1803,612,468,1077,1471,8054,17090,2773,6187,.448,827,2373,.349,1946,3814,.510,1270,1626,.781,668,2333,3001,1662,585,263,1130,1544,7643
CLE,2020,15725,2619,5715,.458,727,2070,.351,1892,3645,.519,983,1296,.758,704,2172,2876,1500,447,211,1073,1188,6948,15725,2851,5811,.491,804,2143,.375,2047,3668,.558,955,1245,.767,633,2154,2787,1699,613,412,844,1277,7461
LAC,2020,17380,2992,6425,.466,895,2410,.371,2097,4015,.522,1498,1894,.791,767,2664,3431,1708,511,338,1051,1594,8377,17380,2846,6494,.438,886,2566,.345,1960,3928,.499,1335,1766,.756,771,2491,3262,1709,540,338,1013,1647,7913
SAC,2020,17455,2943,6364,.462,914,2511,.364,2029,3853,.527,1127,1464,.770,695,2372,3067,1713,556,293,1043,1595,7927,17455,2898,6158,.471,894,2506,.357,2004,3652,.549,1384,1752,.790,654,2481,3135,1791,557,304,1094,1404,8074
LAL,2010,19830,3144,6875,.457,532,1562,.341,2612,5313,.492,1519,1985,.765,973,2662,3635,1730,612,400,1096,1592,8339,19830,3050,6840,.446,520,1585,.328,2530,5255,.481,1332,1776,.750,914,2546,3460,1792,573,363,1159,1737,7952
CLE,2010,19780,3101,6391,.485,602,1582,.381,2499,4809,.520,1569,2180,.720,791,2692,3483,1835,564,425,1137,1591,8373,19780,2935,6633,.442,524,1511,.347,2411,5122,.471,1444,1907,.757,794,2366,3160,1661,542,325,1045,1708,7838
LAC,2010,19705,3002,6601,.455,483,1457,.332,2519,5144,.490,1362,1867,.730,927,2502,3429,1810,532,466,1285,1581,7849,19705,3193,6792,.470,529,1457,.363,2664,5335,.499,1455,1910,.762,879,2490,3369,1926,686,363,1059,1588,8370
SAC,2010,19880,3144,6895,.456,482,1383,.349,2662,5512,.483,1430,1969,.726,977,2518,3495,1679,564,366,1226,1827,8200,19880,3199,6828,.469,497,1391,.357,2702,5437,.497,1663,2149,.774,909,2538,3447,1683,586,468,1120,1650,8558
